AÑO,CENTRO DIRECTIVO,CONCEPTO ECONÓMICO,IMPORTE
2011,SUBVENCIONES DE GESTION,Actos protocolarios y de representación,855.72
2011,SUBVENCIONES DE GESTION,Adquisición de otro inmovilizado material,1335.36
2011,SUBVENCIONES DE GESTION,Material de oficina no inventariable,97.0
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Actos protocolarios y de representación,284.04
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Adquis. de equipos para el proceso de información,1750.87
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Adquisición de aplicaciones informáticas,232.54
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Adquisición de mobiliario,2819.96
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Adquisición equipos didácticos e investigación,640.48
2011,"ALCAÑIZ RAYA, MARIANO LUIS","Cursos, cursillos y conferencias",1751.0
2011,"ALCAÑIZ RAYA, MARIANO LUIS","Dietas, locomoción y traslados",13188.89
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Material informático no inventariable,280.57
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Reuniones y conferencias (Cuotas inscripción),10086.46
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Suministros de material de laboratorio,467.71
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Suministros de otros productos,1141.93
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Trabajos por otras empresas: Otros,300.45
2011,"ALCAÑIZ RAYA, MARIANO LUIS",Tributos,1050.0
2011,"ALCAÑIZ RAYA, MARIANO LUIS",otros gastos diversos,2251.25
2011,CENTRO DE SALUD,Compras de libros y otras publicaciones,63.36
2011,CENTRO DE SALUD,Gastos de viajes por gestión y representación,2519.39
2011,CENTRO DE SALUD,Gastos diversos: Atenciones protoc. y represent.,332.76
2011,CENTRO DE SALUD,Otros Gastos diversos,4.3
2011,CENTRO DE SALUD,Repar. y conserv. de equi.procesos de información,76.7
2011,CENTRO DE SALUD,Reparación y conservación de otros bienes,65.01
2011,CENTRO DE SALUD,Suministros de otros productos,87.28
2011,CENTRO DE SALUD,Transp. y comunic.: Otros serv. de transporte,10.0
2011,CULTURA,Adquisición de otro inmovilizado material,9623.75
2011,CULTURA,Adquisición mobiliario,481.44
2011,CULTURA,"Compras de prensa, revistas y public. periódicas",175.0
2011,CULTURA,Conservación y reparación: De edificios,2303.83
2011,CULTURA,Gastos de viajes por gestión y representación,5535.33
2011,CULTURA,Gastos diversos: Atenciones protoc. y represent.,6559.54
2011,CULTURA,"Gastos diversos: Cursos, cursillos y conferencias",12830.0
2011,CULTURA,Gastos diversos: Publicidad y propaganda,3500.0
2011,CULTURA,Gastos diversos: Reuniones y conferencias (C.Insc),370.0
2011,CULTURA,Gastos en fotocopias,18.58
2011,CULTURA,Otros Gastos diversos,4057.74
2011,CULTURA,Primas de seguros: De otros riesgos,1757.34
2011,CULTURA,Suministros de otros productos,4144.87
2011,CULTURA,Trabajos por otras empresas: Otros,9307.38
2011,CULTURA,Transferencias corrientes a familias: Becas,6000.0
2011,CULTURA,Transportes y comunicaciones: Correo y mensajería,8.5
2011,DEP DE INGENIERÍA ELECTRÓNICA,Adquisición de otro inmovilizado material,4008.28
2011,DEP DE INGENIERÍA ELECTRÓNICA,Adquisición equipos procesos información,1496.21
2011,DEP DE INGENIERÍA ELECTRÓNICA,Compras de material de oficina no inventariable,18.94
2011,DEP DE INGENIERÍA ELECTRÓNICA,Compras de material informático no inventariable,1654.77
2011,DEP DE INGENIERÍA ELECTRÓNICA,"Compras de prensa, revistas y public. periódicas",45.89
2011,DEP DE INGENIERÍA ELECTRÓNICA,Gastos diversos: Atenciones protoc. y represent.,91.0
2011,DEP DE INGENIERÍA ELECTRÓNICA,Gastos en fotocopias,304.2
2011,DEP DE INGENIERÍA ELECTRÓNICA,Indemniz. de otros gastos por razón de servicios,150.0
2011,DEP DE INGENIERÍA ELECTRÓNICA,Otros Gastos diversos,49.9
2011,DEP DE INGENIERÍA ELECTRÓNICA,Reparación y conservación de otros bienes,23.6
2011,DEP DE INGENIERÍA ELECTRÓNICA,Suministros de material de laboratorio,1892.83
2011,DEP DE INGENIERÍA ELECTRÓNICA,Trab.por ot. empr.: Estudios y trabajos técnicos,90.0
2011,DEP DE INGENIERÍA ELECTRÓNICA,"Tribun.de oposic.,Concursos,Tesis Doctorales, etc.",54.15
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Adquisición de útiles y herramientas,601.33
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Adquisición equipos procesos información,900.0
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Compras de material informático no inventariable,29.95
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Gastos diversos: Atenciones protoc. y represent.,1222.98
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Gastos diversos: Reuniones y conferencias (C.Insc),4137.85
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Otros Gastos diversos,430.79
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Suministros de material de laboratorio,2338.21
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Suministros de otros productos,198.77
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Suministros de vestuario,112.2
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Trabajos por otras empresas: Otros,177.27
2011,DEP DE INGENIERÍA MECÁNICA Y MATERIALES,Transportes y comunicaciones: Correo y mensajería,38.86
2011,DEP DE SISTEMAS INFORMÁTICOS Y COMPUTACIÓN,Compras de material de oficina no inventariable,74.58
2011,DEP DE SISTEMAS INFORMÁTICOS Y COMPUTACIÓN,Compras de material informático no inventariable,339.65
2011,DEP DE SISTEMAS INFORMÁTICOS Y COMPUTACIÓN,Indemniz. de otros gastos por razón de servicios,11323.97
2011,DEP DE SISTEMAS INFORMÁTICOS Y COMPUTACIÓN,Repar. y conserv. de equi.procesos de información,554.16
2011,DEP DE SISTEMAS INFORMÁTICOS Y COMPUTACIÓN,Reparación y conserv. de edificios y ot. const.,1893.9
2011,DEP DE SISTEMAS INFORMÁTICOS Y COMPUTACIÓN,Reparación y conservación de otros bienes,7.01
2011,DEP DE SISTEMAS INFORMÁTICOS Y COMPUTACIÓN,Trab.por ot. empr.: Estudios y trabajos técnicos,1350.0
2011,DEP DE SISTEMAS INFORMÁTICOS Y COMPUTACIÓN,Trabajos por otras empresas: Otros,238.44
2011,DEP DE SISTEMAS INFORMÁTICOS Y COMPUTACIÓN,"Tribun.de oposic.,Concursos,Tesis Doctorales, etc.",2322.74
2011,EPS DE GANDIA,Gastos diversos: Atenciones protoc. y represent.,605.64
2011,EPS DE GANDIA,Gastos diversos: Publicidad y propaganda,500.79
2011,EPS DE GANDIA,Otros Gastos diversos,2385.99
2011,EPS DE GANDIA,Reparación y conservación de otros bienes,2215.79
2011,EPS DE GANDIA,Trabajos por otras empresas: Limpieza y aseo,480.0
2011,EPS DE GANDIA,Trabajos por otras empresas: Otros,86.4
2011,EPS DE GANDIA,Transportes y comunicaciones: Correo y mensajería,2691.55
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Compras de material audiovisual no inventariable,41.94
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Compras de material de oficina no inventariable,5.99
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Gastos de viajes de alumnos,8107.48
2011,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Gastos de viajes por docencia,174.45
